age,family,income,education,ccavg,mortgage,secacc,cdacc,online,ccard,loan
25,4,49,1,1.6,0,1,0,0,0,0
45,3,34,1,1.5,0,1,0,0,0,0
39,1,11,1,1.0,0,0,0,0,0,0
35,1,100,2,2.7,0,0,0,0,0,0
35,4,45,2,1.0,0,0,0,0,1,0
37,4,29,2,0.4,155,0,0,1,0,0
53,2,72,2,1.5,0,0,0,1,0,0
50,1,22,3,0.3,0,0,0,0,1,0
35,3,81,2,0.6,104,0,0,1,0,0
34,1,180,3,8.9,0,0,0,0,0,1
65,4,105,3,2.4,0,0,0,0,0,0
29,3,45,2,0.1,0,0,0,1,0,0
48,2,114,3,3.8,0,1,0,0,0,0
59,4,40,2,2.5,0,0,0,1,0,0
67,1,112,1,2.0,0,1,0,0,0,0
60,1,22,3,1.5,0,0,0,1,1,0
38,4,130,3,4.7,134,0,0,0,0,1
42,4,81,1,2.4,0,0,0,0,0,0
46,2,193,3,8.1,0,0,0,0,0,1
55,1,21,2,0.5,0,1,0,0,1,0
56,4,25,2,0.9,111,0,0,1,0,0
57,3,63,3,2.0,0,0,0,1,0,0
29,1,62,1,1.2,260,0,0,1,0,0
44,2,43,1,0.7,163,1,0,0,0,0
36,2,152,1,3.9,159,0,0,0,1,0
43,3,29,1,0.5,97,0,0,1,0,0
40,4,83,3,0.2,0,0,0,0,0,0
46,1,158,1,2.4,0,0,0,1,1,0
56,1,48,3,2.2,0,0,0,1,1,0
38,1,119,2,3.3,0,0,1,1,1,1
59,1,35,3,1.2,122,0,0,1,0,0
40,1,29,2,2.0,0,0,0,1,0,0
53,2,41,3,0.6,193,0,0,0,0,0
30,3,18,3,0.9,0,0,0,0,0,0
31,4,50,3,1.8,0,0,0,1,0,0
48,3,81,1,0.7,0,0,0,0,0,0
59,1,121,1,2.9,0,0,0,0,1,0
51,1,71,3,1.4,198,0,0,0,0,0
42,3,141,3,5.0,0,1,1,1,0,1
38,4,80,3,0.7,285,0,0,1,0,0
57,3,84,3,1.6,0,1,0,0,0,0
34,3,60,1,2.3,0,0,0,0,0,0
32,4,132,2,1.1,412,0,0,1,0,1
39,1,45,1,0.7,0,0,0,1,0,0
46,1,104,1,5.7,0,0,0,1,1,0
57,4,52,1,2.5,0,0,0,0,1,0
39,3,43,2,0.7,153,0,0,1,0,0
37,4,194,3,0.2,211,1,1,1,1,1
56,2,81,3,4.5,0,0,0,0,1,0
40,1,49,1,1.8,0,0,0,0,1,0
32,4,8,2,0.7,0,1,0,1,0,0
61,1,131,1,2.9,0,0,0,1,0,0
30,1,72,1,0.1,207,0,0,0,0,0
50,3,190,3,2.1,240,0,0,1,0,1
29,1,44,3,0.2,0,0,0,1,0,0
41,2,139,1,8.0,0,0,0,1,0,0
55,3,29,2,0.1,0,1,1,1,0,0
56,2,131,3,1.2,0,0,0,0,0,1
28,2,93,1,0.2,0,0,0,0,0,0
31,2,188,1,4.5,455,0,0,0,0,0
49,3,39,2,1.7,0,1,0,1,0,0
47,1,125,1,5.7,112,1,0,0,0,0
42,1,22,1,1.0,0,0,0,0,0,0
42,4,32,2,0.0,0,0,0,1,0,0
47,2,105,1,3.3,0,0,0,0,0,0
59,1,131,1,3.8,0,0,0,1,1,0
62,2,105,1,2.8,336,0,0,0,0,0
53,4,45,3,2.0,132,1,0,0,0,0
47,3,60,1,2.1,0,0,0,1,1,0
53,4,20,1,0.2,0,0,0,1,0,0
42,1,115,1,3.5,0,0,0,0,1,0
53,4,69,2,1.0,0,0,0,1,0,0
44,1,130,1,5.0,0,0,0,0,1,0
41,1,85,3,4.0,0,0,0,1,1,0
28,2,135,1,3.3,0,0,0,0,1,0
31,4,135,2,3.8,0,0,1,1,1,1
58,3,12,3,0.3,0,0,0,0,0,0
46,3,29,2,0.5,0,0,0,0,0,0
54,2,133,3,2.6,0,0,0,0,0,1
50,2,19,1,0.4,118,0,0,1,0,0
60,4,41,1,1.3,174,0,0,1,1,0
47,3,40,2,2.7,0,0,0,1,0,0
41,1,82,3,4.0,0,0,0,1,0,0
33,1,50,2,2.4,0,0,0,0,0,0
46,1,18,3,0.9,0,0,0,1,0,0
27,4,109,3,1.8,0,0,0,0,0,0
40,4,42,2,2.2,126,0,0,0,0,0
48,3,78,1,1.1,0,0,0,1,0,0
65,2,51,1,1.1,0,0,0,1,0,0
25,4,113,3,2.3,0,0,0,0,1,0
55,4,118,2,5.6,0,0,0,1,0,1
35,4,29,3,1.1,0,0,0,1,0,0
43,3,34,2,0.6,0,0,0,0,0,0
60,2,64,3,1.7,236,1,0,1,0,0
65,1,121,1,2.0,0,0,0,0,0,0
38,4,48,3,0.2,0,0,0,1,0,0
41,1,80,1,5.2,0,0,0,0,0,0
54,1,161,1,2.9,0,0,0,1,0,0
49,1,94,1,0.3,0,0,0,1,0,0
66,3,15,3,0.1,0,0,0,1,0,0
48,1,74,1,1.2,0,0,0,1,0,0
61,3,30,2,1.3,0,0,0,0,0,0
53,3,44,3,1.0,198,0,0,1,1,0
43,2,22,2,0.3,0,0,0,1,0,0
56,4,38,1,1.3,166,0,0,1,1,0
24,3,35,2,0.1,0,1,0,1,0,0
43,4,69,1,2.9,0,0,0,1,1,0
42,1,43,1,0.7,136,0,0,0,0,0
33,1,32,3,0.6,166,0,0,1,0,0
43,1,49,1,2.8,0,0,0,1,0,0
41,3,9,2,1.0,0,0,0,0,0,0
62,4,45,2,1.3,0,0,0,1,0,0
40,3,82,1,1.0,309,0,0,0,0,0
58,2,92,1,2.8,103,0,0,0,0,0
39,3,39,3,0.5,0,0,0,1,0,0
65,3,81,2,1.8,0,0,0,1,0,0
54,1,35,2,1.5,0,0,0,1,0,0
58,2,61,3,2.3,193,0,0,1,0,0
41,3,73,1,3.0,0,0,0,1,0,0
32,1,112,1,4.6,366,0,0,0,0,0
54,2,12,3,0.2,0,0,0,1,0,0
52,3,38,3,0.9,0,0,0,1,0,0
58,2,73,2,0.7,0,0,0,1,1,0
37,1,84,2,3.6,0,1,0,0,0,0
39,4,78,1,2.4,118,0,0,1,0,0
60,3,80,1,0.5,0,0,0,1,0,0
31,2,115,1,1.3,101,0,0,1,1,0
34,1,82,2,2.7,251,0,0,1,0,0
38,2,74,1,0.0,0,1,0,1,0,0
41,3,70,3,0.5,0,0,0,0,1,0
28,3,81,1,1.5,276,0,0,1,0,0
58,4,149,2,7.2,0,0,1,1,1,1
31,2,51,3,1.75,0,0,0,0,0,0
30,3,39,2,1.1,0,0,0,1,0,0
53,3,98,2,1.8,0,0,0,0,0,0
58,4,45,1,2.1,0,0,0,1,1,0
59,4,49,2,2.5,0,0,0,1,0,0
49,2,128,1,0.4,0,0,0,0,0,0
59,3,42,1,1.5,0,1,1,0,1,0
59,1,18,3,1.2,0,0,0,1,0,0
51,2,31,3,0.4,161,0,0,1,1,0
35,3,58,1,2.0,149,0,0,1,1,0
33,1,48,3,2.1,0,0,0,0,1,0
25,4,54,1,1.6,0,0,0,1,1,0
49,2,70,2,1.5,0,0,0,0,0,0
59,1,124,1,7.4,0,0,0,0,1,0
46,1,84,2,2.67,0,0,0,1,1,0
50,4,83,3,3.6,188,0,0,1,0,0
52,2,163,1,0.4,116,0,0,1,0,0
48,3,42,2,2.2,0,0,0,0,0,0
46,2,118,1,7.5,0,0,1,1,1,0
26,3,132,3,6.5,0,0,0,0,1,1
57,1,24,1,1.3,0,0,0,1,1,0
60,2,22,1,1.0,0,1,1,1,1,0
54,4,58,3,1.3,0,0,0,0,0,0
24,4,60,1,1.6,0,0,0,1,0,0
26,4,15,1,0.4,0,0,0,0,1,0
41,4,83,1,2.67,0,0,0,1,1,0
32,2,79,3,1.5,0,0,0,1,1,0
61,4,41,2,1.7,0,1,0,1,0,0
29,4,134,3,6.5,0,0,0,0,0,1
61,2,80,1,2.8,0,0,0,1,0,0
38,1,52,1,2.0,0,0,0,0,0,0
28,4,70,1,2.6,0,0,0,1,0,0
53,2,92,1,1.1,0,1,0,0,0,0
27,1,43,1,1.5,0,0,0,1,0,0
25,3,21,2,1.0,0,0,0,0,0,0
33,3,23,3,0.9,0,0,0,1,1,0
50,4,13,1,1.0,0,0,0,1,0,0
27,4,112,3,2.1,0,0,0,0,1,0
27,2,138,1,2.0,0,0,0,1,0,0
52,3,11,1,0.4,0,1,0,0,0,0
38,2,171,1,7.8,0,0,0,1,0,0
58,4,42,1,1.5,0,0,0,1,1,0
42,2,168,2,7.9,0,0,0,1,0,1
45,4,85,2,1.1,0,1,0,1,0,0
52,3,44,2,1.0,135,0,0,1,0,0
29,4,65,2,1.8,244,0,0,0,0,0
53,4,24,1,0.2,0,0,0,1,1,0
62,1,11,1,0.1,0,0,0,1,0,0
